Member,Concept Name,Description,Category,SAFETY,NAVIGATION,CAR-TO-CAR CONNECTIVITY,CLOUD TECHNOLOGY,COMFORT,LEISURE & ENTERTAINMENT,EXTERNAL SIGNAL,ENTRY & EXIT,PARKING,ALTERNATIVE CONTROL,VOICE PROGRAM,WARNING SYSTEM,IN-CAR COMMUNICATION,SCREEN & DISPLAYS,PORTABLE DEVICE CONNECTIVITY,ALTERNATIVE CONTROL,IN-CAR WIFI
5,Alert system ,"If there is some problem with the car, there will be an alert and the car cannot be started",WARNING SYSTEM,,,,,,,,,,,,1,,,,,
6,Intelligent assistant system,The robotic embedded in the vehicle system can help driver execute related actions,ALTERNATIVE CONTROL,,,,,,,,,,1,,,,,,,
6,Automated Emergency calling system,The car will contact police department and other related department when the passenger has  any emergency,CLOUD TECHNOLOGY,,,,1,,,,,,,,,,,,,
6,Interior roof screen,"When the driver lay on the seat, he or she can still see the screen",COMFORT,,,,,1,,,,,,,,,,,,
6,Vehicle flexible interior floor,The floor of interior is embedded with chairs,COMFORT,,,,,1,,,,,,,,,,,,
6,Disable special seat mechanism,Can help disables get on the car easily,ENTRY & EXIT,,,,,,,,1,,,,,,,,,
6,Self Parking service,The car can self park,PARKING,,,,,,,,,1,,,,,,,,
6,Touch screen with personal laptop connection,The screen on the car can connect into personal laptop,SCREEN & DISPLAYS,,,,,,,,,,,,,,1,,,
6,Movable screen mechanism,The screen on the car can change the angle,SCREEN & DISPLAYS,,,,,,,,,,,,,,1,,,
6,Traffic light warning system,The signal on the dashboard can identify whether the care sensed the traffic light,WARNING SYSTEM,,,,,,,,,,,,1,,,,,
6,Traffic condition warning,This warning signal can tell the driver the traffic situation ahead,WARNING SYSTEM,,,,,,,,,,,,1,,,,,
6,Digitalization integration system,"The vehicle can connect to user's phone, laptop and other electronics device",IN-CAR COMMUNICATION,,,,,,,,,,,,,1,,,,
6,Obstacle warning system,The car will warn the user for the unavoidable obstacles,SAFETY,1,,,,,,,,,,,,,,,,
6,Emergency Warning,The car will warn the user to be prepared for the unavoidable accident,SAFETY,1,,,,,,,,,,,,,,,,
6,Low Battery Warning,The car will warn the user for the low battery,SAFETY,1,,,,,,,,,,,,,,,,
6,Sensor Failure Warning,The car will warn the user for the malfunction of the sensors,SAFETY,1,,,,,,,,,,,,,,,,
6,Maintenance warning,The car will warn the user for the necessary maintenance ,SAFETY,1,,,,,,,,,,,,,,,,
6,Flexible seating mechanism,The seats of the car can change the shape to better fit the users,LEISURE & ENTERTAINMENT,,,,,,1,,,,,,,,,,,
6,Projector Screen,The car can project the laptop screen at certain area,LEISURE & ENTERTAINMENT,,,,,,1,,,,,,,,,,,
6,Smart HVAC system,The car will turn on or off the HVAC before the user step into the car,LEISURE & ENTERTAINMENT,,,,,,1,,,,,,,,,,,
6,Recording system,The car will save all the enviornment data into centern computer,SAFETY,1,,,,,,,,,,,,,,,,
